additives_n,nutrition_grade_fr,pnns_groups_1,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
2,a,unknown,586,10,1,11,3,1.5,1,0.16,0.062992126
0,a,unknown,1249,15,1.3,37,0.3,3.7,3.4,0.48,0.188976378
2,a,unknown,669,8.2,1.6,4,2.1,7,14,1.2,0.472440945
2,e,Sugary snacks,1880,17.5,10,72.5,45,2.5,5,0.508,0.2
2,e,Sugary snacks,2040,24.3,13.5,67.6,54.1,2.7,5.41,0.412,0.162
0,a,unknown,1481,1.8,0.3,67.5,4,8.8,12.6,0.1,0.039370079
0,a,unknown,556,5.9,1.7,14,1.5,2.6,4.6,0.58,0.228346457
5,c,Fat and sauces,491,7.35,2.94,14.7,2.94,2.94,2.94,2.09,0.824
0,b,Salty snacks,2090,21.4,1.79,67.9,0,3.57,7.14,0.726,0.286
,c,Salty snacks,2240,32.1,5.36,57.1,3.57,3.57,7.14,0.998,0.393
9,d,Salty snacks,2220,28.3,3.53,63.6,3.53,7.07,7.07,1.62,0.636
0,a,unknown,527,2.4,0.4,21,4.1,1.8,4,0.6,0.236220472
,a,unknown,1430,1.1,0.3,70.2,1,4.3,9.5,0,0
0,d,Salty snacks,2390,35.7,5.36,53.6,3.57,3.57,7.14,3.17,1.25
0,d,Salty snacks,2690,35.7,5.36,53.6,3.57,3.57,7.14,1.27,0.5
0,a,unknown,1142,5.3,1.7,59.7,19.8,10,8.9,0.0762,0.03
0,a,unknown,275,0.5,0.1,10,5.6,3.5,4.7,1.016,0.4
2,a,Cereals and potatoes,1520,0.909,0,70.9,0,3.64,12.7,0.139,0.0545
0,d,Salty snacks,2390,46.4,8.93,32.1,7.14,3.57,17.9,0.408,0.161
0,d,Salty snacks,2650,46.7,6.67,30,10,10,20,1.86,0.733
0,a,Cereals and potatoes,1540,1.54,0,78.5,4.62,3.08,12.3,0,0
0,a,unknown,1592,1.8,0.6,82,0.2,1.5,7.7,0.03,0.011811024
0,a,unknown,350,1.04,0.24,1.04,0.88,0.8,16.9,0.569,0.224
0,a,unknown,157,0.6,0.4,4,4,,3.3,0.12,0.047244094
1,e,Sugary snacks,2056,21,13,69,36,1.7,6.1,0.52,0.204724409
,d,Milk and dairy products,952,12.1,7.58,25.8,19.7,0,4.55,0.154,0.0606
3,a,Cereals and potatoes,1490,7.14,1.79,67.9,0,10.7,14.3,0.68,0.268
3,d,Cereals and potatoes,1700,9.26,3.7,77.8,33.3,3.7,7.41,1.88,0.741
4,e,Cereals and potatoes,1700,5.56,3.7,85.2,44.4,3.7,3.7,2.07,0.815
4,e,Cereals and potatoes,1700,5.56,3.7,85.2,44.4,3.7,3.7,1.88,0.741
4,c,Sugary snacks,586,5,1.5,22,9,1,1,0.3048,0.12
,e,Beverages,647,9.66,4.35,10.6,3.38,1.45,7.25,0.785,0.309
0,a,Fish Meat Eggs,835,12.9,3.7,0.7,0.1,1,20.4,0.1016,0.04
4,a,unknown,968,0.9,0.2,47.3,1.6,4.8,7.7,1.524,0.6
0,a,unknown,2008,26.3,3,34.7,3.5,5.8,26.1,0,0
11,d,Cereals and potatoes,1740,13.3,6.67,66.7,3.33,3.33,8.33,3.89,1.53
11,e,Cereals and potatoes,1950,20,10,63.3,1.67,1.67,10,3.81,1.5
11,e,Cereals and potatoes,1880,15,7.5,68.3,3.33,1.67,8.33,4.4,1.73
4,d,Sugary snacks,1340,20.8,13.6,25.6,18.4,0,5.6,0.447,0.176
1,e,Beverages,205,0,0,12,12,0,0,0,0
1,e,Sugary snacks,2333,45,24,28,24,,9,0,0
0,a,unknown,214,0.9,0.3,7.2,7.2,1.7,1.1,0.1,0.039370079
0,a,unknown,1452,1.9,0.6,65,4.3,7,13,0,0
2,e,Milk and dairy products,1640,32.1,17.9,3.57,3.57,0,21.4,2.45,0.964
,e,Milk and dairy products,1640,32.1,17.9,3.57,3.57,0,21.4,2.45,0.964
0,a,unknown,1490,1,0.3,77,0.2,1,8,0.01,0.003937008
,d,Sugary snacks,1790,17.9,3.57,57.1,21.4,0,3.57,0.544,0.214
2,d,Cereals and potatoes,1620,1.61,0,74.2,12.9,0,19.4,1.8,0.71
8,d,Cereals and potatoes,1590,3.45,1.72,89.7,41.4,10.3,3.45,1.18,0.466
8,d,Sugary snacks,1460,0,0,85,62.5,0,0,0.0953,0.0375
0,a,unknown,61,0.5,0.1,1.7,1.7,1,0.9,0,0
3,a,unknown,1492,0.6,0.4,76,0.8,4.6,8.3,0.254,0.1
1,a,unknown,415,0.2,0.1,15,1.5,6.1,6.1,1.016,0.4
0,a,unknown,1282,1.6,0.2,40.6,1.1,17,23.4,0.02,0.007874016
2,e,Sugary snacks,2090,22.5,20,62.5,52.5,5,12.5,0.349,0.138
0,a,unknown,1283,1.6,0.2,40.6,1.1,17,23.4,0.02,0.007874016
2,e,Sugary snacks,2090,31.6,15.8,55.3,50,2.63,10.5,0.167,0.0658
